MRFS 12.2.0.1, t1 = 1375241370.638632, t2 = 1375241503.661700, diff = 133.023068, 
MRFS 12.2.0.2, t1 = 1375241391.565826, t2 = 1375241540.111886, diff = 148.546060, 
MRFS 12.2.0.3, t1 = 1375241394.069150, t2 = 1375241547.331403, diff = 153.262253, 
MRFS 12.2.0.4, t1 = 1375241380.751464, t2 = 1375241539.315621, diff = 158.564157, 
MRFS 12.2.0.5, t1 = 1375241378.041745, t2 = 1375241555.109490, diff = 177.067745, 
MRFS 12.2.0.6, t1 = 1375241392.775179, t2 = 1375241574.642164, diff = 181.866985, 
MRFS 12.2.0.7, t1 = 1375241387.196212, t2 = 1375241577.105596, diff = 189.909384, 
MRFS 12.2.0.8, t1 = 1375241392.926351, t2 = 1375241579.001783, diff = 186.075432, 
MRFS 12.2.1.1, t1 = 1375241398.735054, t2 = 1375241544.232553, diff = 145.497499, 
MRFS 12.2.1.2, t1 = 1375241371.396674, t2 = 1375241501.825352, diff = 130.428678, 
MRFS 12.2.1.3, t1 = 1375241397.003030, t2 = 1375241548.029895, diff = 151.026865, 
MRFS 12.2.1.4, t1 = 1375241377.228797, t2 = 1375241533.120883, diff = 155.892086, 
MRFS 12.2.1.5, t1 = 1375241382.691002, t2 = 1375241563.932987, diff = 181.241985, 
MRFS 12.2.1.6, t1 = 1375241372.515150, t2 = 1375241539.182969, diff = 166.667819, 
MRFS 12.2.1.7, t1 = 1375241376.068049, t2 = 1375241562.378223, diff = 186.310174, 
MRFS 12.2.1.8, t1 = 1375241392.851248, t2 = 1375241579.024523, diff = 186.173275, 
MRFS 12.2.2.1, t1 = 1375241371.942054, t2 = 1375241509.413131, diff = 137.471077, 
MRFS 12.2.2.2, t1 = 1375241368.127009, t2 = 1375241498.317841, diff = 130.190832, 
MRFS 12.2.2.3, t1 = 1375241370.910159, t2 = 1375241518.442728, diff = 147.532569, 
MRFS 12.2.2.4, t1 = 1375241391.619698, t2 = 1375241546.793638, diff = 155.173940, 
MRFS 12.2.2.5, t1 = 1375241390.201626, t2 = 1375241574.699542, diff = 184.497916, 
MRFS 12.2.2.6, t1 = 1375241382.250839, t2 = 1375241565.959332, diff = 183.708493, 
MRFS 12.2.2.7, t1 = 1375241394.294239, t2 = 1375241579.153059, diff = 184.858820, 
MRFS 12.2.2.8, t1 = 1375241389.503189, t2 = 1375241578.263255, diff = 188.760066, 
MRFS 12.2.3.1, t1 = 1375241374.458179, t2 = 1375241517.259465, diff = 142.801286, 
MRFS 12.2.3.2, t1 = 1375241368.559192, t2 = 1375241497.597300, diff = 129.038108, 
MRFS 12.2.3.3, t1 = 1375241396.774194, t2 = 1375241548.534764, diff = 151.760570, 
MRFS 12.2.3.4, t1 = 1375241386.058570, t2 = 1375241543.717500, diff = 157.658930, 
MRFS 12.2.3.5, t1 = 1375241378.226387, t2 = 1375241558.298139, diff = 180.071752, 
MRFS 12.2.3.6, t1 = 1375241365.100060, t2 = 1375241521.107568, diff = 156.007508, 
MRFS 12.2.3.7, t1 = 1375241376.055704, t2 = 1375241563.116516, diff = 187.060812, 
MRFS 12.2.3.8, t1 = 1375241392.565676, t2 = 1375241578.661958, diff = 186.096282, 
MRFS 12.3.0.1, t1 = 1375241377.285379, t2 = 1375241521.875665, diff = 144.590286, 
MRFS 12.3.0.2, t1 = 1375241384.253886, t2 = 1375241537.793101, diff = 153.539215, 
MRFS 12.3.0.3, t1 = 1375241381.163321, t2 = 1375241538.432419, diff = 157.269098, 
MRFS 12.3.0.4, t1 = 1375241376.364057, t2 = 1375241529.819708, diff = 153.455651, 
MRFS 12.3.0.5, t1 = 1375241388.438322, t2 = 1375241574.808211, diff = 186.369889, 
MRFS 12.3.0.6, t1 = 1375241388.199791, t2 = 1375241576.722913, diff = 188.523122, 
MRFS 12.3.0.7, t1 = 1375241388.209461, t2 = 1375241577.188751, diff = 188.979290, 
MRFS 12.3.0.8, t1 = 1375241383.331102, t2 = 1375241573.007932, diff = 189.676830, 
MRFS 12.3.1.1, t1 = 1375241375.350954, t2 = 1375241508.582779, diff = 133.231825, 
MRFS 12.3.1.2, t1 = 1375241395.831010, t2 = 1375241547.400568, diff = 151.569558, 
MRFS 12.3.1.3, t1 = 1375241391.801708, t2 = 1375241546.421018, diff = 154.619310, 
MRFS 12.3.1.4, t1 = 1375241379.250935, t2 = 1375241535.375226, diff = 156.124291, 
MRFS 12.3.1.5, t1 = 1375241371.599784, t2 = 1375241530.417987, diff = 158.818203, 
MRFS 12.3.1.6, t1 = 1375241371.437566, t2 = 1375241540.492917, diff = 169.055351, 
MRFS 12.3.1.7, t1 = 1375241377.133552, t2 = 1375241564.435585, diff = 187.302033, 
MRFS 12.3.1.8, t1 = 1375241392.015145, t2 = 1375241578.220200, diff = 186.205055, 
MRFS 12.3.2.1, t1 = 1375241378.269119, t2 = 1375241523.900693, diff = 145.631574, 
MRFS 12.3.2.2, t1 = 1375241384.556474, t2 = 1375241534.083773, diff = 149.527299, 
MRFS 12.3.2.3, t1 = 1375241400.624274, t2 = 1375241548.703694, diff = 148.079420, 
MRFS 12.3.2.4, t1 = 1375241400.628174, t2 = 1375241548.569585, diff = 147.941411, 
MRFS 12.3.2.5, t1 = 1375241394.185199, t2 = 1375241576.351696, diff = 182.166497, 
MRFS 12.3.2.6, t1 = 1375241382.639213, t2 = 1375241566.418455, diff = 183.779242, 
MRFS 12.3.2.7, t1 = 1375241392.221109, t2 = 1375241578.815320, diff = 186.594211, 
MRFS 12.3.2.8, t1 = 1375241376.652381, t2 = 1375241564.781473, diff = 188.129092, 
MRFS 12.3.3.1, t1 = 1375241398.149220, t2 = 1375241543.889590, diff = 145.740370, 
MRFS 12.3.3.2, t1 = 1375241392.275651, t2 = 1375241541.510297, diff = 149.234646, 
MRFS 12.3.3.3, t1 = 1375241374.321946, t2 = 1375241525.998021, diff = 151.676075, 
MRFS 12.3.3.4, t1 = 1375241382.333681, t2 = 1375241541.002534, diff = 158.668853, 
MRFS 12.3.3.5, t1 = 1375241358.455889, t2 = 1375241503.933590, diff = 145.477701, 
MRFS 12.3.3.6, t1 = 1375241362.592916, t2 = 1375241517.803725, diff = 155.210809, 
MRFS 12.3.3.7, t1 = 1375241391.813066, t2 = 1375241578.486429, diff = 186.673363, 
MRFS 12.3.3.8, t1 = 1375241376.394477, t2 = 1375241563.512557, diff = 187.118080, 
MRFS 12.4.0.1, t1 = 1375241395.920000, t2 = 1375241540.197344, diff = 144.277344, 
MRFS 12.4.0.2, t1 = 1375241392.531362, t2 = 1375241537.677516, diff = 145.146154, 
MRFS 12.4.0.3, t1 = 1375241396.017912, t2 = 1375241544.113622, diff = 148.095710, 
MRFS 12.4.0.4, t1 = 1375241388.057197, t2 = 1375241542.363621, diff = 154.306424, 
MRFS 12.4.0.5, t1 = 1375241392.061371, t2 = 1375241567.918406, diff = 175.857035, 
MRFS 12.4.0.6, t1 = 1375241381.266953, t2 = 1375241556.218543, diff = 174.951590, 
MRFS 12.4.0.7, t1 = 1375241381.410646, t2 = 1375241566.275644, diff = 184.864998, 
MRFS 12.4.0.8, t1 = 1375241388.539641, t2 = 1375241571.759090, diff = 183.219449, 
MRFS 12.4.1.1, t1 = 1375241393.821622, t2 = 1375241539.137255, diff = 145.315633, 
MRFS 12.4.1.2, t1 = 1375241373.870869, t2 = 1375241512.783597, diff = 138.912728, 
MRFS 12.4.1.3, t1 = 1375241386.388496, t2 = 1375241541.973361, diff = 155.584865, 
MRFS 12.4.1.4, t1 = 1375241398.736566, t2 = 1375241544.186730, diff = 145.450164, 
MRFS 12.4.1.5, t1 = 1375241391.160580, t2 = 1375241567.736320, diff = 176.575740, 
MRFS 12.4.1.6, t1 = 1375241232.561390, t2 = 1375241303.923451, diff = 71.362061, 
MRFS 12.4.1.7, t1 = 1375241390.643327, t2 = 1375241572.032092, diff = 181.388765, 
MRFS 12.4.1.8, t1 = 1375241389.795781, t2 = 1375241571.977166, diff = 182.181385, 
MRFS 12.4.2.1, t1 = 1375241369.874511, t2 = 1375241503.873040, diff = 133.998529, 
MRFS 12.4.2.2, t1 = 1375241388.268783, t2 = 1375241536.310599, diff = 148.041816, 
MRFS 12.4.2.3, t1 = 1375241374.180939, t2 = 1375241525.718837, diff = 151.537898, 
MRFS 12.4.2.4, t1 = 1375241394.786031, t2 = 1375241543.597975, diff = 148.811944, 
MRFS 12.4.2.5, t1 = 1375241374.545679, t2 = 1375241535.172914, diff = 160.627235, 
MRFS 12.4.2.6, t1 = 1375241381.616590, t2 = 1375241557.718900, diff = 176.102310, 
MRFS 12.4.2.7, t1 = 1375241390.220952, t2 = 1375241572.187038, diff = 181.966086, 
MRFS 12.4.2.8, t1 = 1375241375.562868, t2 = 1375241552.441760, diff = 176.878892, 
MRFS 12.4.3.1, t1 = 1375241396.589200, t2 = 1375241540.801113, diff = 144.211913, 
MRFS 12.4.3.2, t1 = 1375241381.345174, t2 = 1375241528.301678, diff = 146.956504, 
MRFS 12.4.3.3, t1 = 1375241386.168986, t2 = 1375241541.178122, diff = 155.009136, 
MRFS 12.4.3.4, t1 = 1375241397.306270, t2 = 1375241544.131138, diff = 146.824868, 
MRFS 12.4.3.5, t1 = 1375241375.907146, t2 = 1375241541.068972, diff = 165.161826, 
MRFS 12.4.3.6, t1 = 1375241387.520781, t2 = 1375241566.526066, diff = 179.005285, 
MRFS 12.4.3.7, t1 = 1375241375.812518, t2 = 1375241553.763166, diff = 177.950648, 
MRFS 12.4.3.8, t1 = 1375241395.444964, t2 = 1375241572.484968, diff = 177.040004, 
MRFS 12.5.0.1, t1 = 1375241361.119916, t2 = 1375241478.619126, diff = 117.499210, 
MRFS 12.5.0.2, t1 = 1375241376.923317, t2 = 1375241518.915853, diff = 141.992536, 
MRFS 12.5.0.3, t1 = 1375241396.062874, t2 = 1375241543.977203, diff = 147.914329, 
MRFS 12.5.0.4, t1 = 1375241393.468873, t2 = 1375241543.659560, diff = 150.190687, 
MRFS 12.5.0.5, t1 = 1375241395.123168, t2 = 1375241568.911001, diff = 173.787833, 
MRFS 12.5.0.6, t1 = 1375241375.381023, t2 = 1375241536.361969, diff = 160.980946, 
MRFS 12.5.0.7, t1 = 1375241378.779894, t2 = 1375241561.188221, diff = 182.408327, 
MRFS 12.5.0.8, t1 = 1375241392.598718, t2 = 1375241572.413064, diff = 179.814346, 
MRFS 12.5.1.1, t1 = 1375241382.096190, t2 = 1375241527.750947, diff = 145.654757, 
MRFS 12.5.1.2, t1 = 1375241369.267496, t2 = 1375241504.579626, diff = 135.312130, 
MRFS 12.5.1.3, t1 = 1375241375.055111, t2 = 1375241527.734424, diff = 152.679313, 
MRFS 12.5.1.4, t1 = 1375241369.880461, t2 = 1375241517.104673, diff = 147.224212, 
MRFS 12.5.1.5, t1 = 1375241380.386411, t2 = 1375241553.524663, diff = 173.138252, 
MRFS 12.5.1.6, t1 = 1375241378.780370, t2 = 1375241548.091364, diff = 169.310994, 
MRFS 12.5.1.7, t1 = 1375241380.383655, t2 = 1375241565.268157, diff = 184.884502, 
MRFS 12.5.1.8, t1 = 1375241364.186590, t2 = 1375241515.900630, diff = 151.714040, 
MRFS 12.5.2.1, t1 = 1375241387.359817, t2 = 1375241535.251917, diff = 147.892100, 
MRFS 12.5.2.2, t1 = 1375241366.098182, t2 = 1375241493.491989, diff = 127.393807, 
MRFS 12.5.2.3, t1 = 1375241381.298533, t2 = 1375241538.631214, diff = 157.332681, 
MRFS 12.5.2.4, t1 = 1375241389.231127, t2 = 1375241542.994502, diff = 153.763375, 
MRFS 12.5.2.5, t1 = 1375241371.544008, t2 = 1375241522.302886, diff = 150.758878, 
MRFS 12.5.2.6, t1 = 1375241385.475419, t2 = 1375241563.758959, diff = 178.283540, 
MRFS 12.5.2.7, t1 = 1375241381.218673, t2 = 1375241565.482753, diff = 184.264080, 
MRFS 12.5.2.8, t1 = 1375241392.647475, t2 = 1375241572.433932, diff = 179.786457, 
MRFS 12.5.3.1, t1 = 1375241374.038674, t2 = 1375241516.520205, diff = 142.481531, 
MRFS 12.5.3.2, t1 = 1375241373.849807, t2 = 1375241514.812981, diff = 140.963174, 
MRFS 12.5.3.3, t1 = 1375241392.580429, t2 = 1375241543.598014, diff = 151.017585, 
MRFS 12.5.3.4, t1 = 1375241376.976465, t2 = 1375241532.621967, diff = 155.645502, 
MRFS 12.5.3.5, t1 = 1375241393.171948, t2 = 1375241569.793405, diff = 176.621457, 
MRFS 12.5.3.6, t1 = 1375241385.024333, t2 = 1375241564.484391, diff = 179.460058, 
MRFS 12.5.3.7, t1 = 1375241392.868124, t2 = 1375241572.435718, diff = 179.567594, 
MRFS 12.5.3.8, t1 = 1375241388.046460, t2 = 1375241571.209147, diff = 183.162687, 
MRFS 12.6.0.1, t1 = 1375241390.632073, t2 = 1375241536.512851, diff = 145.880778, 
MRFS 12.6.0.2, t1 = 1375241396.246478, t2 = 1375241539.294257, diff = 143.047779, 
MRFS 12.6.0.3, t1 = 1375241393.468877, t2 = 1375241543.620842, diff = 150.151965, 
MRFS 12.6.0.4, t1 = 1375241389.254372, t2 = 1375241543.105860, diff = 153.851488, 
MRFS 12.6.0.5, t1 = 1375241364.149090, t2 = 1375241507.523715, diff = 143.374625, 
MRFS 12.6.0.6, t1 = 1375241392.798190, t2 = 1375241568.324728, diff = 175.526538, 
MRFS 12.6.0.7, t1 = 1375241390.217670, t2 = 1375241571.919278, diff = 181.701608, 
MRFS 12.6.0.8, t1 = 1375241393.149132, t2 = 1375241572.381266, diff = 179.232134, 
MRFS 12.6.1.1, t1 = 1375241364.929499, t2 = 1375241488.889324, diff = 123.959825, 
MRFS 12.6.1.2, t1 = 1375241392.845747, t2 = 1375241538.530305, diff = 145.684558, 
MRFS 12.6.1.3, t1 = 1375241380.714600, t2 = 1375241537.364668, diff = 156.650068, 
MRFS 12.6.1.4, t1 = 1375241375.438455, t2 = 1375241529.176218, diff = 153.737763, 
MRFS 12.6.1.5, t1 = 1375241394.246421, t2 = 1375241569.152317, diff = 174.905896, 
MRFS 12.6.1.6, t1 = 1375241387.252198, t2 = 1375241564.968739, diff = 177.716541, 
MRFS 12.6.1.7, t1 = 1375241378.372369, t2 = 1375241561.995747, diff = 183.623378, 
MRFS 12.6.1.8, t1 = 1375241377.616900, t2 = 1375241558.922734, diff = 181.305834, 
MRFS 12.6.2.1, t1 = 1375241388.566344, t2 = 1375241535.575438, diff = 147.009094, 
MRFS 12.6.2.2, t1 = 1375241365.482449, t2 = 1375241495.433316, diff = 129.950867, 
MRFS 12.6.2.3, t1 = 1375241393.088808, t2 = 1375241543.788594, diff = 150.699786, 
MRFS 12.6.2.4, t1 = 1375241363.507169, t2 = 1375241503.455328, diff = 139.948159, 
MRFS 12.6.2.5, t1 = 1375241388.034564, t2 = 1375241565.976916, diff = 177.942352, 
MRFS 12.6.2.6, t1 = 1375241391.072695, t2 = 1375241567.981977, diff = 176.909282, 
MRFS 12.6.2.7, t1 = 1375241364.207052, t2 = 1375241512.907050, diff = 148.699998, 
MRFS 12.6.2.8, t1 = 1375241357.953565, t2 = 1375241498.481147, diff = 140.527582, 
MRFS 12.6.3.1, t1 = 1375241382.703522, t2 = 1375241531.207729, diff = 148.504207, 
MRFS 12.6.3.2, t1 = 1375241375.445822, t2 = 1375241517.924389, diff = 142.478567, 
MRFS 12.6.3.3, t1 = 1375241392.437269, t2 = 1375241543.774213, diff = 151.336944, 
MRFS 12.6.3.4, t1 = 1375241396.990767, t2 = 1375241544.164916, diff = 147.174149, 
MRFS 12.6.3.5, t1 = 1375241381.382472, t2 = 1375241556.363119, diff = 174.980647, 
MRFS 12.6.3.6, t1 = 1375241385.754298, t2 = 1375241563.862803, diff = 178.108505, 
MRFS 12.6.3.7, t1 = 1375241389.840502, t2 = 1375241571.819873, diff = 181.979371, 
MRFS 12.6.3.8, t1 = 1375241393.138157, t2 = 1375241572.434784, diff = 179.296627, 
MRFS 12.7.0.1, t1 = 1375241388.928581, t2 = 1375241538.861685, diff = 149.933104, 
MRFS 12.7.0.2, t1 = 1375241389.210515, t2 = 1375241539.721174, diff = 150.510659, 
MRFS 12.7.0.3, t1 = 1375241387.921679, t2 = 1375241541.919856, diff = 153.998177, 
MRFS 12.7.0.4, t1 = 1375241383.239075, t2 = 1375241537.768682, diff = 154.529607, 
MRFS 12.7.0.5, t1 = 1375241385.734959, t2 = 1375241565.320685, diff = 179.585726, 
MRFS 12.7.0.6, t1 = 1375241384.924530, t2 = 1375241568.107879, diff = 183.183349, 
MRFS 12.7.0.7, t1 = 1375241387.683238, t2 = 1375241571.170052, diff = 183.486814, 
MRFS 12.7.0.8, t1 = 1375241387.420376, t2 = 1375241571.035507, diff = 183.615131, 
MRFS 12.7.1.1, t1 = 1375241367.879872, t2 = 1375241492.186983, diff = 124.307111, 
MRFS 12.7.1.2, t1 = 1375241395.221827, t2 = 1375241542.679164, diff = 147.457337, 
MRFS 12.7.1.3, t1 = 1375241396.030127, t2 = 1375241544.071170, diff = 148.041043, 
MRFS 12.7.1.4, t1 = 1375241374.331616, t2 = 1375241522.344714, diff = 148.013098, 
MRFS 12.7.1.5, t1 = 1375241370.908312, t2 = 1375241515.479840, diff = 144.571528, 
MRFS 12.7.1.6, t1 = 1375241392.046696, t2 = 1375241571.848766, diff = 179.802070, 
MRFS 12.7.1.7, t1 = 1375241393.150371, t2 = 1375241572.360937, diff = 179.210566, 
MRFS 12.7.1.8, t1 = 1375241388.777205, t2 = 1375241571.404953, diff = 182.627748, 
MRFS 12.7.2.1, t1 = 1375241370.743391, t2 = 1375241507.224061, diff = 136.480670, 
MRFS 12.7.2.2, t1 = 1375241373.971928, t2 = 1375241514.936546, diff = 140.964618, 
MRFS 12.7.2.3, t1 = 1375241389.615184, t2 = 1375241542.897756, diff = 153.282572, 
MRFS 12.7.2.4, t1 = 1375241381.676947, t2 = 1375241538.864049, diff = 157.187102, 
MRFS 12.7.2.5, t1 = 1375241394.220388, t2 = 1375241569.949456, diff = 175.729068, 
MRFS 12.7.2.6, t1 = 1375241379.755314, t2 = 1375241552.420811, diff = 172.665497, 
MRFS 12.7.2.7, t1 = 1375241392.120756, t2 = 1375241572.218735, diff = 180.097979, 
MRFS 12.7.2.8, t1 = 1375241368.295826, t2 = 1375241528.229578, diff = 159.933752, 
MRFS 12.7.3.1, t1 = 1375241392.641751, t2 = 1375241538.897748, diff = 146.255997, 
MRFS 12.7.3.2, t1 = 1375241376.134458, t2 = 1375241519.663531, diff = 143.529073, 
MRFS 12.7.3.3, t1 = 1375241362.337635, t2 = 1375241494.407136, diff = 132.069501, 
MRFS 12.7.3.4, t1 = 1375241394.572699, t2 = 1375241543.882612, diff = 149.309913, 
MRFS 12.7.3.5, t1 = 1375241380.452617, t2 = 1375241555.260811, diff = 174.808194, 
MRFS 12.7.3.6, t1 = 1375241395.129958, t2 = 1375241570.555276, diff = 175.425318, 
MRFS 12.7.3.7, t1 = 1375241385.736756, t2 = 1375241570.012723, diff = 184.275967, 
MRFS 12.7.3.8, t1 = 1375241395.286242, t2 = 1375241572.542346, diff = 177.256104, 
